,smiles,reactants,reaction_names,num_steps,hits,compound_set,batch
70,Cc1ccc(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,"[('Cc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1ccc(O)cc1NC(=O)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528 x0416,x0528-x0416-merge-1-6,7
71,CN1CCC(Oc2ccc(F)c(NC(=O)C3CCCO3)c2)C1=O,"[('Fc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('O=C(Nc1cc(O)ccc1F)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528 x0416,x0528-x0416-merge-1-7,7
72,Cc1ccc(NC(=O)C2CCCO2)cc1OC1CCN(C)C1=O,"[('Nc1cc(O)c(C)cc1', 'O=C(O)C1CCCO1'), ('Cc1ccc(NC(=O)C2CCCO2)cc1O', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528 x0416,x0528-x0416-merge-1-8,7
73,Cc1cc(C)c(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)C1CCCO1'), ('Cc1cc(C)c(NC(=O)C2CCCO2)cc1O', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528 x0416,x0528-x0416-merge-1-9,7
74,CN1CCC(Oc2cncc(NC(=O)C3CCCO3)c2)C1=O,"[('Nc1cncc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cncc(O)c1)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528 x0416,x0528-x0416-merge-1-10,7
75,CN1CCC(Oc2cc(NC(=O)C3CCCO3)ccn2)C1=O,"[('Nc1ccnc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1ccnc(O)c1)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528 x0416,x0528-x0416-merge-1-11,7
76,Cc1cnc(NC(=O)COC2CCN(C)C2=O)c(O)c1,"[('Cc1cnc(N)c(O)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cnc(NC(=O)CO[Si](C)(C)C(C)(C)C)c(O)c1', ('Cc1cnc(NC(=O)CO)c(O)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528 x0732,x0528-x0732-merge-1-1,7
77,CN1CCC(OCC(=O)Nc2ccccc2O)C1=O,"[('Nc1ccccc1O', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1ccccc1O', ('O=C(CO)Nc1ccccc1O', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528 x0732,x0528-x0732-merge-1-2,7
78,Cc1ccc(NC(=O)COC2CCN(C)C2=O)c(O)c1,"[('Cc1cc(O)c(N)cc1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1ccc(NC(=O)CO[Si](C)(C)C(C)(C)C)c(O)c1', ('Cc1ccc(NC(=O)CO)c(O)c1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528 x0732,x0528-x0732-merge-1-3,7
79,CN1CCC(OCC(=O)Nc2ccc(F)cc2O)C1=O,"[('Fc1cc(O)c(N)cc1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1ccc(F)cc1O', ('O=C(CO)Nc1ccc(F)cc1O', 'O=C1C(Cl)CCN1C')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528 x0732,x0528-x0732-merge-1-4,7
