,smiles,reactants,reaction_names,num_steps,hits,compound_set,batch
130,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)C1CCCO1'), ('Cc1cc(C)c(NC(=O)C2CCCO2)cc1O', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922_A x0416_A,x0922-x0416-merge-1-9,13
131,CN(C)C(=O)COc1cncc(NC(=O)C2CCCO2)c1,"[('Nc1cncc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cncc(O)c1)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922_A x0416_A,x0922-x0416-merge-1-10,13
132,CN(C)C(=O)COc1cc(NC(=O)C2CCCO2)ccn1,"[('Nc1ccnc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1ccnc(O)c1)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922_A x0416_A,x0922-x0416-merge-1-11,13
133,N#CCC(=O)Nc1ccccc1(NC(=O)CO),"[('CC(C)(C)OC(=O)Nc1ccccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccccc1(NC(=O)CO)', ('c1cccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-1,13
134,Cc1cc(NC(=O)CO)c(NC(=O)CC#N)cc1,"[('CC(C)(C)OC(=O)Nc1ccc(C)cc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccc(C)cc1(NC(=O)CO)', ('c1cc(C)cc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-2,13
135,N#CCC(=O)Nc1ccncc1(NC(=O)CO),"[('CC(C)(C)OC(=O)Nc1ccncc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccncc1(NC(=O)CO)', ('c1cncc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-3,13
136,Cc1cccc(NC(=O)CO)c1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1c(C)cccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1c(C)cccc1(NC(=O)CO)', ('c1(C)cccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-4,13
137,N#CCC(=O)Nc1c(NC(=O)CO)cccc1F,"[('CC(C)(C)OC(=O)Nc1c(F)cccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1c(F)cccc1(NC(=O)CO)', ('c1(F)cccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-5,13
138,c1cc(NC(=O)CO)c(NC(=O)CC#N)cc1F,"[('CC(C)(C)OC(=O)Nc1cc(F)ccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(F)ccc1(NC(=O)CO)', ('c1c(F)ccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-6,13
139,c1cc(NC(=O)CO)c(NC(=O)CC#N)cc1F,"[('CC(C)(C)OC(=O)Nc1cc(C)ccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(C)ccc1(NC(=O)CO)', ('c1c(C)ccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-3-7,13
