,smiles,reactants,reaction_names,num_steps,compound_set,batch,hits
120,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCC(=O)N(C)C,"[('Oc1cc(OCc2ccccc2)c(C)cc1', 'O=C(CCl)N1CCOCC1'), 'Cc1ccc(OCC(=O)N2CCOCC2)cc1OCc1ccccc1', ('Cc1ccc(OCC(=O)N2CCOCC2)cc1O', 'CN(C)C(=O)CCl')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0739-merge-2-6,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
121,CN(C)C(=O)COc1cncc(OCC(=O)N2CCOCC2)c1,"[('Oc1cncc(OCc2ccccc2)c1', 'O=C(CCl)N1CCOCC1'), 'O=C(COc1cncc(OCc2ccccc2)c1)N1CCOCC1', ('O=C(COc1cncc(O)c1)N1CCOCC1', 'CN(C)C(=O)CCl')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0739-merge-2-7,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
122,Cc1cc(NC(=O)C2CCCO2)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)C1CCCO1'), ('Cc1cc(O)cc(NC(=O)C2CCCO2)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-1,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
123,Cc1cnc(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Cc1cnc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1cnc(O)cc1NC(=O)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-2,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
124,Cc1cc(NC(=O)C2CCCO2)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)C1CCCO1'), ('Cc1cc(O)cc(NC(=O)C2CCCO2)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-3,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
125,CN(C)C(=O)COc1cccc(NC(=O)C2CCCO2)c1,"[('Nc1cccc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cccc(O)c1)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-4,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
126,Cc1ccc(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Cc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1ccc(O)cc1NC(=O)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-5,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
127,Cc1ccc(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Cc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1ccc(O)cc1NC(=O)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-6,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
128,CN(C)C(=O)COc1ccc(F)c(NC(=O)C2CCCO2)c1,"[('Fc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('O=C(Nc1cc(O)ccc1F)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-7,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
129,Cc1ccc(NC(=O)C2CCCO2)cc1OCC(=O)N(C)C,"[('Nc1cc(O)c(C)cc1', 'O=C(O)C1CCCO1'), ('Cc1ccc(NC(=O)C2CCCO2)cc1O', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-8,12,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
