,smiles,reactants,reaction_names,num_steps,compound_set,batch,hits
50,CC(=O)Nc1ccc(F)c(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'CC(=O)O'), 'CC(=O)Nc1ccc(F)c(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1ccc(F)c(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-6,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
51,CC(=O)Nc1cc(C)cc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'CC(=O)O'), 'CC(=O)Nc1cc(C)cc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-7,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
52,CC(=O)Nc1cc(C)cc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1', 'CC(=O)O'), 'CC(=O)Nc1cc(C)cc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-8,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
53,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,"[('Oc1cccc(N)c1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(O)c1N', 'O=C(O)CO'), ('CC(=O)Nc1cccc(O)c1NC(=O)CO', 'CN(C)C(=O)CCl')]","['Amidation', 'N-Boc_deprotection', 'Amidation', 'Williamson_ether_synthesis']",4,x0884-x0732-x0922-merge-1-1,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
54,CC(=O)Nc1cc(C)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-1,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
55,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,"[('Cc1cnc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ncc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-2,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
56,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-3,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
57,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,"[('Nc1cccc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cccc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-4,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
58,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,"[('Cc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-5,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
59,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,"[('Cc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-6,5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
