,smiles,reactants,reaction_names,num_steps,compound_set,batch,hits
100,Cc1ccc(NC(=O)COCC(=O)N(C)C)cc1O,"[('Nc1cc(O)c(C)cc1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1ccc(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O', ('Cc1ccc(NC(=O)CO)cc1O', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-8,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
101,Cc1cc(C)c(NC(=O)COCC(=O)N(C)C)cc1O,"[('Nc1cc(O)c(C)cc1C', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cc(C)c(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O', ('Cc1cc(C)c(NC(=O)CO)cc1O', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-9,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
102,CN(C)C(=O)COCC(=O)Nc1cncc(O)c1,"[('Nc1cncc(O)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1cncc(O)c1', ('O=C(CO)Nc1cncc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-10,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
103,CN(C)C(=O)COCC(=O)Nc1ccnc(O)c1,"[('Nc1ccnc(O)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1ccnc(O)c1', ('O=C(CO)Nc1ccnc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-11,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
104,Cc1cc(NC(=O)CS)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)CS'), ('Cc1cc(O)cc(NC(=O)CS)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-1,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
105,Cc1cnc(OCC(=O)N(C)C)cc1NC(=O)CS,"[('Cc1cnc(O)cc1N', 'O=C(O)CS'), ('Cc1cnc(O)cc1NC(=O)CS', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-2,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
106,Cc1cc(NC(=O)CS)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)CS'), ('Cc1cc(O)cc(NC(=O)CS)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-3,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
107,CN(C)C(=O)COc1cccc(NC(=O)CS)c1,"[('Nc1cccc(O)c1', 'O=C(O)CS'), ('O=C(CS)Nc1cccc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-4,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
108,Cc1ccc(OCC(=O)N(C)C)cc1NC(=O)CS,"[('Cc1ccc(O)cc1N', 'O=C(O)CS'), ('Cc1ccc(O)cc1NC(=O)CS', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-5,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
109,Cc1ccc(OCC(=O)N(C)C)cc1NC(=O)CS,"[('Cc1ccc(O)cc1N', 'O=C(O)CS'), ('Cc1ccc(O)cc1NC(=O)CS', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-6,10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
